ResourceCategory,ResourceType,Name,Description,visible,verified,tags,metricName,metricNamespace,severity,windowSize,evaluationFrequency,timeAggregation,operator,threshold,criterionType,dimensions,alertSensitivity,failingPeriods,metricMeasureColumn,resouceIdColumn,autoMitigate,references
Cache,Redis,serverLoad,"The percentage of cycles in which the Redis server is busy processing and not waiting idle for messages. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-15027",serverLoad,Microsoft.Cache/Redis,3,PT15M,PT5M,Average,GreaterThan,85.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,usedmemorypercentage,"The percentage of cache memory used for key/value pairs. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-13670",usedmemorypercentage,Microsoft.Cache/Redis,2,PT15M,PT5M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,connectedclients,"The number of client connections to the cache. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-10156",connectedclients,Microsoft.Cache/Redis,3,PT15M,PT5M,Maximum,GreaterThan,850.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,cacheRead,"The amount of data read from the cache in bytes per second. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-7790",cacheRead,Microsoft.Cache/Redis,3,PT15M,PT5M,Average,GreaterThan,46875000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,percentProcessorTime,"The CPU utilization of the Azure Redis Cache server as a percentage. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-4143",percentProcessorTime,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,allusedmemorypercentage,"The percentage of cache memory used for key/value pairs. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1844",allusedmemorypercentage,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,85.0,StaticThresholdCriterion,,,,,,,
Cache,Redis,allserverLoad,"The percentage of cycles in which the Redis server is busy processing and not waiting idle for messages. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1571",allserverLoad,Microsoft.Cache/Redis,3,PT15M,PT1M,Average,GreaterThan,75.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""shardid"", ""values"": [""*""]}, {""operator"": ""include"", ""name"": ""primary"", ""values"": [""true""]}]",,,,,,
Cache,Redis,cacheLatency,"The latency to the cache in microseconds. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1543",cacheLatency,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,10000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,errors,"The number errors that occured on the cache. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1534",errors,Microsoft.Cache/Redis,3,PT5M,PT1M,Maximum,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,allpercentprocessortime,"The CPU utilization of the Azure Redis Cache server as a percentage. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1411",allpercentprocessortime,Microsoft.Cache/Redis,3,PT15M,PT1M,Average,GreaterThan,60.0,StaticThresholdCriterion,"[{""operator"": ""include"", ""name"": ""shardid"", ""values"": [""*""]}, {""operator"": ""include"", ""name"": ""primary"", ""values"": [""true""]}]",,,,,,
